hours,Матвей,Никита,Коля,Cемен,Саша,Денис,Влад,Ира
00-01,55.0,60.0,48.0,63.0,38.0,71.0,48.0,34.0
01-02,46.0,42.0,27.0,56.0,28.0,62.0,33.0,11.0
02-03,19.0,21.0,13.0,45.0,16.0,37.0,21.0,2.0
03-04,10.0,15.0,6.0,29.0,4.0,6.0,11.0,2.0
04-05,2.0,6.0,3.0,10.0,3.0,0.0,4.0,0.0
05-06,1.0,11.0,1.0,2.0,0.0,0.0,2.0,3.0
06-07,1.0,12.0,1.0,2.0,3.0,1.0,2.0,5.0
07-08,4.0,16.0,9.0,5.0,5.0,5.0,5.0,11.0
08-09,19.0,27.0,40.0,9.0,20.0,12.0,17.0,17.0
09-10,24.0,54.0,51.0,11.0,32.0,29.0,30.0,28.0
10-11,51.0,62.0,56.0,12.0,52.0,63.0,37.0,44.0
11-12,61.0,71.0,53.0,31.0,49.0,72.0,53.0,49.0
12-13,60.0,69.0,51.0,43.0,47.0,73.0,53.0,58.0
13-14,64.0,65.0,48.0,59.0,51.0,71.0,51.0,53.0
14-15,56.0,62.0,52.0,66.0,45.0,73.0,57.0,53.0
15-16,61.0,61.0,43.0,71.0,41.0,74.0,58.0,48.0
16-17,59.0,59.0,46.0,70.0,51.0,71.0,54.0,53.0
17-18,63.0,66.0,54.0,70.0,46.0,71.0,54.0,53.0
18-19,54.0,62.0,51.0,67.0,45.0,73.0,62.0,54.0
19-20,49.0,62.0,45.0,65.0,45.0,70.0,54.0,45.0
20-21,60.0,65.0,52.0,65.0,42.0,73.0,54.0,49.0
21-22,60.0,70.0,50.0,68.0,50.0,72.0,60.0,49.0
22-23,63.0,71.0,54.0,70.0,56.0,72.0,58.0,42.0
23-00,60.0,65.0,53.0,66.0,44.0,71.0,53.0,40.0
